Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points
6.097683786505538883e-01,1.444444444444444586e-01,1.836734693877550839e-01,3.127326880119136315e-02,2.164502164502164483e-01,4.506531204644411703e-01,8.520408163265305035e-01,7.870967741935483986e-01,5.241935483870967527e-01,7.811177586458484257e-01
1.248741188318227557e-01,7.416666666666666963e-01,6.122448979591835760e-01,1.265822784810126667e-01,2.568542568542568905e-01,9.550072568940493056e-02,3.673469387755101678e-01,8.774193548387096975e-01,9.516129032258063836e-01,8.171603677221654649e-02
7.104733131923464118e-01,1.027777777777777873e-01,3.265306122448979331e-01,2.233804914370811634e-01,3.679653679653679399e-01,5.053701015965166299e-01,8.163265306122449161e-01,6.709677419354838079e-01,4.717741935483870663e-01,3.073106668612286541e-01
3.685800604229607647e-01,5.555555555555555768e-03,1.224489795918367319e-01,3.797468354430380000e-01,2.597402597402597713e-01,9.230769230769229894e-02,7.857142857142855874e-01,8.387096774193549820e-01,6.209677419354838745e-01,1.087115132058952133e-01
4.632426988922457856e-01,1.111111111111111154e-02,2.857142857142856984e-01,2.405063291139240556e-01,2.683982683982684136e-01,2.574746008708272416e-01,7.295918367346938549e-01,7.290322580645161032e-01,5.967741935483871218e-01,1.610973296366554619e-01
1.203423967774421843e-01,9.777777777777778567e-01,5.306122448979591066e-01,1.697691734921816797e-01,9.812409812409812748e-02,9.317851959361392322e-02,5.459183673469386600e-01,5.483870967741935054e-01,6.088709677419354982e-01,9.207646286297971328e-02
1.344410876132930976e-01,1.250000000000000000e-01,1.020408163265306006e-01,0.000000000000000000e+00,2.106782106782106867e-01,1.754716981132075360e-01,8.316326530612243584e-01,8.387096774193549820e-01,5.766129032258063836e-01,2.051656208959579675e-01
4.008056394763344077e-01,4.166666666666667129e-02,4.285714285714285476e-01,0.000000000000000000e+00,2.106782106782106867e-01,2.055152394775036084e-01,7.040816326530611180e-01,5.935483870967741549e-01,5.080645161290322509e-01,2.584269662921347965e-01
3.479355488418931497e-01,9.444444444444444198e-02,1.428571428571428492e-01,0.000000000000000000e+00,2.106782106782106867e-01,1.847605224963715376e-01,8.214285714285713969e-01,8.129032258064516903e-01,5.725806451612902581e-01,3.449584123741427089e-01
4.385699899295065762e-01,1.583333333333333259e-01,3.673469387755101678e-01,1.623231571109456373e-01,2.900432900432900474e-01,3.309143686502177134e-02,8.724489795918366486e-01,6.516129032258064502e-01,3.911290322580645018e-01,2.858602072085217882e-01
5.226586102719033011e-01,8.499999999999999778e-01,4.897959183673469274e-01,2.524199553239017124e-01,4.141414141414141437e-01,6.153846153846153494e-02,4.642857142857141906e-01,7.741935483870967527e-01,8.346774193548386345e-01,1.704363052677659307e-01
5.135951661631419363e-01,9.472222222222222987e-01,3.265306122448979331e-01,2.241250930752047565e-01,3.376623376623376638e-01,2.464441219158200191e-01,6.530612244897958663e-01,7.483870967741936830e-01,6.733870967741935054e-01,2.683496279001896800e-01
1.827794561933535622e-01,3.333333333333333703e-01,6.734693877551020114e-01,1.697691734921816797e-01,4.242424242424242542e-01,9.187227866473149374e-02,1.000000000000000000e+00,6.064516129032258007e-01,1.532258064516129059e-01,2.188822413541514564e-02
7.442094662638469860e-01,1.166666666666666685e-01,3.469387755102040782e-01,3.819806403574088072e-01,4.646464646464646409e-01,5.104499274310594359e-01,8.265306122448978776e-01,6.580645161290323841e-01,4.475806451612903136e-01,2.740405661753976263e-01
2.346424974823766441e-01,2.500000000000000000e-01,1.224489795918367319e-01,0.000000000000000000e+00,2.106782106782106867e-01,2.010159651669085612e-01,8.775510204081631294e-01,8.451612903225806939e-01,5.403225806451612545e-01,4.158762585728877775e-02
4.420946626384691935e-01,2.583333333333333592e-01,2.040816326530612013e-01,7.073715562174236193e-02,2.265512265512265588e-01,3.618287373004354102e-01,9.081632653061224580e-01,8.129032258064516903e-01,4.838709677419354982e-01,3.170874069750473923e-01
5.488418932527694416e-01,5.277777777777777762e-02,1.836734693877550839e-01,4.988830975428146242e-02,2.150072150072150079e-01,6.750362844702466614e-01,7.959183673469387710e-01,7.935483870967743325e-01,5.806451612903225090e-01,3.169414854808113025e-01
2.910372608257805194e-01,2.361111111111111327e-01,2.653061224489795533e-01,0.000000000000000000e+00,2.106782106782106867e-01,8.258345428156747825e-02,9.183673469387754196e-01,7.677419354838710408e-01,4.395161290322580627e-01,1.907193929665839671e-01
1.711983887210473121e-01,5.000000000000000278e-02,1.224489795918367319e-01,0.000000000000000000e+00,2.106782106782106867e-01,1.139332365747459941e-01,8.061224489795917325e-01,8.258064516129033361e-01,6.008064516129032473e-01,4.888370056909382283e-02
4.697885196374622652e-01,1.777777777777777846e-01,2.448979591836734637e-01,2.233804914370811703e-02,2.193362193362193568e-01,3.079825834542815333e-01,8.826530612244896101e-01,7.483870967741936830e-01,4.596774193548386900e-01,3.058514519188676450e-01
5.000000000000000000e-01,2.083333333333333426e-01,1.428571428571428492e-01,1.116902457185405817e-01,2.092352092352092463e-01,1.600870827285921505e-01,8.673469387755101678e-01,8.322580645161290480e-01,5.362903225806451291e-01,3.696191449000437723e-01
7.059415911379658404e-01,5.361111111111110938e-01,2.857142857142856984e-01,8.041697691734922548e-02,2.207792207792207972e-01,6.859216255442670551e-01,8.163265306122449161e-01,9.741935483870967083e-01,6.572580645161290036e-01,4.131037501824018632e-01
7.462235649546826721e-01,3.250000000000000111e-01,3.265306122448979331e-01,1.898734177215190000e-01,2.756132756132756434e-01,3.589259796806966163e-01,9.540816326530612290e-01,8.064516129032257563e-01,4.153225806451612545e-01,3.739967897271267994e-01
3.625377643504532621e-01,4.444444444444444614e-02,8.163265306122448328e-02,2.695457930007446046e-01,2.424242424242424310e-01,7.082728592162554349e-02,8.061224489795917325e-01,8.516129032258064058e-01,6.129032258064516236e-01,1.120677075733255423e-01
1.943605236656595903e-01,3.527777777777778012e-01,4.897959183673469274e-01,2.233804914370811703e-02,2.222222222222222376e-01,6.052249637155297096e-02,9.846938775510203357e-01,7.548387096774193949e-01,3.145161290322580627e-01,2.715599007733838777e-01
3.101711983887209811e-01,8.166666666666666519e-01,1.836734693877550839e-01,2.546537602382725196e-01,3.434343434343434254e-01,1.175616835994194448e-01,6.938775510204080454e-01,8.967741935483870552e-01,7.419354838709677491e-01,3.720998103020574377e-02
4.536757301107754436e-01,1.027777777777777873e-01,4.081632653061224164e-02,0.000000000000000000e+00,2.106782106782106867e-01,1.053701015965166771e-01,8.214285714285713969e-01,8.709677419354839856e-01,6.088709677419354982e-01,3.687436159346271225e-01
7.150050352467274273e-02,9.777777777777778567e-01,2.857142857142856984e-01,2.300819061801935850e-01,3.073593073593073877e-01,8.272859216255441794e-02,6.938775510204080454e-01,7.419354838709677491e-01,6.370967741935483764e-01,1.125054720560338395e-01
4.884189325276937499e-01,4.166666666666666852e-01,3.061224489795917880e-01,1.801935964259121503e-01,2.438672438672438714e-01,2.834542815674890859e-01,9.183673469387754196e-01,8.967741935483870552e-01,5.080645161290322509e-01,3.512330366262950143e-01
2.940584088620341596e-01,6.611111111111110938e-01,4.693877551020407823e-01,1.578555472822040229e-01,2.510822510822510734e-01,2.351233671988388688e-02,5.765306122448978776e-01,9.870967741935483541e-01,8.548387096774193727e-01,5.705530424631547609e-02
3.796576032225578157e-01,4.166666666666667129e-02,2.857142857142856984e-01,2.233804914370811703e-02,2.106782106782106867e-01,2.397677793904208765e-01,7.602040816326529615e-01,7.225806451612903913e-01,5.604838709677418818e-01,2.018094265285276245e-01
7.457200402819736951e-01,1.666666666666666852e-01,3.265306122448979331e-01,1.206254653760238243e-01,2.409812409812409906e-01,4.002902757619738461e-01,8.826530612244896101e-01,6.838709677419354538e-01,4.112903225806451291e-01,3.505034291551145098e-01
2.522658610271903967e-01,2.388888888888889006e-01,6.530612244897958663e-01,2.695457930007446046e-01,3.174603174603174427e-01,1.078374455732946241e-01,9.591836734693877098e-01,4.451612903225807827e-01,1.008064516129032195e-01,5.121844447687144003e-02
5.745216515609263830e-01,0.000000000000000000e+00,2.448979591836734637e-01,3.603871928518243006e-01,3.333333333333333703e-01,7.355587808417995976e-01,7.346938775510203357e-01,7.612903225806451069e-01,6.129032258064516236e-01,8.521815263388295980e-01
2.573011077542799452e-01,6.611111111111110938e-01,4.081632653061224025e-01,4.988830975428146242e-02,2.395382395382395502e-01,4.354136429608127662e-02,6.173469387755101678e-01,9.935483870967742881e-01,8.306451612903225090e-01,4.990515102874652775e-02
4.763343403826787448e-01,1.861111111111111160e-01,3.673469387755101678e-01,1.801935964259121503e-01,4.271284271284271350e-01,3.715529753265602031e-02,9.030612244897957552e-01,6.580645161290323841e-01,3.669354838709677491e-01,2.057493068729023544e-01
1.928499496475326591e-01,6.388888888888889783e-02,4.897959183673469274e-01,2.330603127326880131e-01,3.694083694083694080e-01,1.883889695210449744e-01,7.193877551020406713e-01,5.354838709677418596e-01,4.475806451612903136e-01,1.059390048154092989e-01
2.839879154078550627e-01,7.805555555555555580e-01,3.469387755102040782e-01,2.911392405063291111e-01,2.178932178932178887e-01,1.436865021770682149e-01,5.816326530612244694e-01,9.032258064516129892e-01,8.306451612903225090e-01,2.188822413541514564e-02
5.095669687814703419e-01,9.194444444444445086e-01,3.061224489795917880e-01,2.062546537602382712e-01,2.727272727272727071e-01,3.637155297532655984e-01,6.428571428571427937e-01,7.870967741935483986e-01,7.096774193548387455e-01,3.505034291551145098e-01
2.749244712990936979e-01,1.000000000000000056e-01,4.693877551020407823e-01,0.000000000000000000e+00,2.106782106782106867e-01,9.579100145137879607e-02,7.857142857142855874e-01,5.483870967741935054e-01,3.951612903225806273e-01,5.690938275207937935e-02
2.326283987915407359e-01,5.250000000000000222e-01,3.877551020408163129e-01,2.300819061801935850e-01,2.554112554112554223e-01,1.386066763425253812e-01,8.112244897959182133e-01,9.806451612903226422e-01,6.411290322580645018e-01,7.441996206041148754e-02
6.268882175226586639e-01,5.000000000000000000e-01,1.836734693877550839e-01,1.697691734921816797e-01,2.539682539682539542e-01,2.177068214804063831e-02,8.469387755102040227e-01,9.483870967741936386e-01,6.250000000000000000e-01,5.188968335035750723e-01
2.316213494461227818e-01,9.944444444444444642e-01,6.326530612244897211e-01,1.496649292628443872e-01,2.871572871572871666e-01,9.825834542815674311e-02,5.051020408163264808e-01,4.387096774193548487e-01,5.483870967741935054e-01,8.332117320881364531e-02
3.197381671701913231e-01,8.027777777777778123e-01,3.265306122448979331e-01,1.563663440059568088e-01,3.073593073593073877e-01,1.862119013062409068e-01,5.816326530612244694e-01,8.838709677419354094e-01,8.225806451612902581e-01,7.441996206041148754e-02
4.451158106747230558e-01,8.055555555555555802e-01,2.653061224489795533e-01,3.127326880119136315e-02,2.222222222222222376e-01,3.523947750362844689e-01,6.326530612244897211e-01,8.967741935483870552e-01,7.862903225806451291e-01,5.267765941923244905e-02
5.624370594159113779e-01,1.638888888888888895e-01,1.632653061224489666e-01,1.578555472822040229e-01,2.294372294372294396e-01,6.804063860667634023e-01,8.622448979591836871e-01,8.000000000000000444e-01,5.241935483870967527e-01,2.454399533051218329e-01
2.663645518630413100e-01,3.055555555555555802e-01,4.489795918367346372e-01,1.898734177215190000e-01,4.285714285714286031e-01,5.674891146589259444e-02,9.846938775510203357e-01,7.096774193548387455e-01,2.943548387096774355e-01,2.791478184736611579e-01
3.569989929506545145e-01,5.472222222222222765e-01,4.285714285714285476e-01,1.340282948622487091e-01,2.857142857142856984e-01,1.477503628447024431e-01,7.704081632653061451e-01,9.870967741935483541e-01,6.814516129032257563e-01,1.024368889537428801e-01
6.304128902316212812e-01,2.944444444444444531e-01,1.428571428571428492e-01,0.000000000000000000e+00,2.106782106782106867e-01,1.480406386066763225e-01,8.877551020408163129e-01,8.580645161290323397e-01,5.322580645161290036e-01,2.671822559463008506e-01
2.386706948640482384e-01,9.722222222222222099e-01,6.734693877551020114e-01,8.935219657483246813e-02,2.770562770562770560e-01,4.310595065312046448e-02,4.336734693877550839e-01,4.322580645161291368e-01,5.967741935483871218e-01,5.953596964832919697e-02
5.025176233635448853e-01,0.000000000000000000e+00,1.224489795918367319e-01,9.977661950856292483e-02,2.251082251082251184e-01,4.325108853410740140e-01,7.806122448979591066e-01,8.322580645161290480e-01,6.250000000000000000e-01,5.796001751057930917e-01
7.195367573011077766e-01,9.638888888888889062e-01,6.122448979591836593e-02,2.680565897244974183e-01,2.496392496392496607e-01,8.359941944847604223e-01,7.908163265306120682e-01,8.709677419354839856e-01,6.411290322580645018e-01,8.769881803589668623e-02
2.925478348439072285e-01,2.083333333333333426e-01,3.061224489795917880e-01,0.000000000000000000e+00,2.106782106782106867e-01,1.132075471698113095e-01,9.132653061224489388e-01,7.161290322580644574e-01,4.032258064516128782e-01,4.377644827083029128e-02
2.391742195367572155e-01,2.861111111111111494e-01,5.102040816326530726e-01,2.524199553239017124e-01,2.352092352092352290e-01,1.436865021770682149e-01,9.897959183673468164e-01,6.451612903225807383e-01,2.379032258064515959e-01,1.094411206770757317e-01
4.984894259818730688e-01,9.750000000000000888e-01,6.122448979591836593e-02,0.000000000000000000e+00,2.106782106782106867e-01,4.850507982583454059e-01,7.959183673469387710e-01,8.709677419354839856e-01,6.370967741935483764e-01,4.796439515540638632e-01
4.229607250755287318e-01,1.666666666666666852e-01,3.265306122448979331e-01,6.701414743112435457e-02,2.611832611832611839e-01,1.741654571843250995e-02,8.826530612244896101e-01,6.838709677419354538e-01,4.112903225806451291e-01,2.374142711221362834e-01
4.229607250755287318e-01,3.388888888888889062e-01,6.122448979591835760e-01,4.988830975428146242e-02,2.496392496392496607e-01,4.631349782293178174e-01,1.000000000000000000e+00,6.580645161290323841e-01,2.096774193548386900e-01,8.934773092076462309e-01
1.248741188318227557e-01,2.777777777777777971e-02,1.428571428571428492e-01,0.000000000000000000e+00,2.106782106782106867e-01,1.776487663280116036e-01,7.908163265306120682e-01,8.193548387096774022e-01,6.088709677419354982e-01,1.683934043484605070e-01
1.289023162134943501e-01,9.833333333333333925e-01,5.306122448979591066e-01,1.697691734921816797e-01,3.434343434343434254e-01,7.489114658925978552e-02,5.561224489795917325e-01,5.612903225806451513e-01,6.008064516129032473e-01,1.081278272289508124e-01
2.547834843907350599e-01,4.000000000000000222e-01,5.102040816326530726e-01,1.801935964259121503e-01,3.953823953823953907e-01,3.396226415094339562e-02,9.591836734693877098e-01,8.193548387096774022e-01,3.790322580645161255e-01,2.611994746826207248e-01
4.385699899295065762e-01,7.472222222222222321e-01,2.653061224489795533e-01,0.000000000000000000e+00,2.106782106782106867e-01,2.394775036284469971e-01,6.479591836734692745e-01,9.354838709677419928e-01,8.024193548387096309e-01,1.593462717058222455e-01
